0,6,DSDK01,0.46333348018678566
0,0,DSDA01,0.48101239441000965
0,3,DSDA04,0.4887744611484114
0,4,DSDA05,0.5242337034398481
0,29,DSRM06,0.5401541390362199
0,14,DSDM03,0.54695800768751
0,26,DSRM03,0.5576413495430772
0,25,DSRM02,0.5685015139481167
0,10,DSDK05,0.5937309393968058
0,11,DSDK06,0.6089772267369356
0,22,DSENG05,0.6127375854313435
0,24,DSRM01,0.6139967582977595
0,15,DSDM04,0.6204145173808188
0,5,DSDA06,0.6211491276322183
0,13,DSDM02,0.6229536654807093
0,8,DSDK03,0.6298841940337614
0,18,DSENG01,0.6455948364974632
0,17,DSDM06,0.6458445513766272
0,19,DSENG02,0.6647066674945029
0,2,DSDA03,0.6792123364252469
0,7,DSDK02,0.6797453293892842
0,21,DSENG04,0.6842868439802798
0,27,DSRM04,0.6862726158591168
0,12,DSDM01,0.688831933571936
0,1,DSDA02,0.6961506974286926
0,9,DSDK04,0.6962309333721637
0,23,DSENG06,0.7005496894003712
0,20,DSENG03,0.7079908422374852
0,16,DSDM05,0.7136134194707155
0,28,DSRM05,0.7285190858755309
1,7,DSDK02,0.5078185517806766
1,27,DSRM04,0.5778597689678722
1,8,DSDK03,0.578688747456205
1,26,DSRM03,0.5858456863921523
1,10,DSDK05,0.590420506520731
1,11,DSDK06,0.601403309067709
1,0,DSDA01,0.6207176551973703
1,5,DSDA06,0.6227543084023401
1,17,DSDM06,0.642797203472184
1,13,DSDM02,0.65776282837212
1,23,DSENG06,0.6584926296920957
1,25,DSRM02,0.6645211605898118
1,19,DSENG02,0.6653336302903277
1,6,DSDK01,0.6735359902077962
1,14,DSDM03,0.6736495804761767
1,1,DSDA02,0.6838111345587603
1,22,DSENG05,0.6846886955085676
1,2,DSDA03,0.6881523198416929
1,4,DSDA05,0.6910250175784917
1,18,DSENG01,0.6963530373684848
1,3,DSDA04,0.7027235218127097
1,24,DSRM01,0.7060518768929528
1,21,DSENG04,0.7088912145198822
1,9,DSDK04,0.7134637564559072
1,20,DSENG03,0.7173172549979101
1,28,DSRM05,0.7384632621864549
1,16,DSDM05,0.7411720746668544
1,15,DSDM04,0.7436100874563797
1,12,DSDM01,0.756583942342266
1,29,DSRM06,0.7707779231407551
2,19,DSENG02,0.4673246191752797
2,15,DSDM04,0.5239338799271718
2,18,DSENG01,0.5505023515264239
2,13,DSDM02,0.550632175583428
2,4,DSDA05,0.5741914246635946
2,14,DSDM03,0.5743440553257481
2,21,DSENG04,0.576346434485189
2,27,DSRM04,0.5821857945768429
2,26,DSRM03,0.5829037701870861
2,20,DSENG03,0.5987949848280849
2,16,DSDM05,0.6116765104937207
2,1,DSDA02,0.6209022236633391
2,12,DSDM01,0.6330121676022658
2,23,DSENG06,0.6390294980689667
2,3,DSDA04,0.6415928738203234
2,5,DSDA06,0.6443901862339784
2,29,DSRM06,0.6485406011446
2,25,DSRM02,0.6514696571632455
2,28,DSRM05,0.654778445214369
2,22,DSENG05,0.6667976834794187
2,11,DSDK06,0.6675227522423612
2,6,DSDK01,0.6681761234510808
2,7,DSDK02,0.6693637928755974
2,24,DSRM01,0.6770972784354773
2,0,DSDA01,0.6791388273319219
2,17,DSDM06,0.6818962037203374
2,9,DSDK04,0.7000159164027902
2,10,DSDK05,0.7433129123055848
2,2,DSDA03,0.7560102282790595
2,8,DSDK03,0.7803961517865897
3,3,DSDA04,0.42783166227941427
3,15,DSDM04,0.5513064119652934
3,4,DSDA05,0.5841941363924102
3,12,DSDM01,0.5895900353462176
3,14,DSDM03,0.6016736133225561
3,24,DSRM01,0.6180975022807009
3,7,DSDK02,0.6275509328557674
3,13,DSDM02,0.6296954020137091
3,29,DSRM06,0.6415235119023855
3,6,DSDK01,0.6622318842854462
3,21,DSENG04,0.6628037561014182
3,8,DSDK03,0.6666881257558204
3,16,DSDM05,0.6676638487792611
3,11,DSDK06,0.6861015942884553
3,17,DSDM06,0.6878535372874932
3,18,DSENG01,0.6952035346545665
3,23,DSENG06,0.7125807914717532
3,20,DSENG03,0.7132601937835603
3,26,DSRM03,0.7136383456533739
3,0,DSDA01,0.7210997034325952
3,2,DSDA03,0.7222732821087285
3,10,DSDK05,0.7224922736832398
3,22,DSENG05,0.7263174281751483
3,19,DSENG02,0.7304380727266246
3,28,DSRM05,0.7334611582159876
3,25,DSRM02,0.7573180506599092
3,1,DSDA02,0.764860876775315
3,27,DSRM04,0.8000380354899985
3,9,DSDK04,0.8211190544816039
3,5,DSDA06,0.8321733285562011
4,10,DSDK05,0.4307575455706396
4,18,DSENG01,0.5560929909450871
4,11,DSDK06,0.560981107084405
4,20,DSENG03,0.6117917621621786
4,5,DSDA06,0.6193237878246185
4,25,DSRM02,0.6201532937631109
4,4,DSDA05,0.6224103107074723
4,7,DSDK02,0.6374599929246672
4,27,DSRM04,0.6474659526678856
4,6,DSDK01,0.6505528779115033
4,16,DSDM05,0.6536062038681836
4,2,DSDA03,0.6577157610232826
4,26,DSRM03,0.6601229375710089
4,0,DSDA01,0.669758881500474
4,8,DSDK03,0.6841087271351323
